SITE_CODE,SITE_NAME,HABITAT_CODE,HABITAT_PRIORITY,HABITAT_DESCRIPTION,HABITAT_COVER_HA,HABITAT_REPRESENTATIVITY,HABITAT_RELATIVE_SURFACE,HABITAT_CONSERVATION,HABITAT_GLOBAL
IT0000001,Vercelli Seamount,1170,0.0,Scogliere,10635.0,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT0000002,Palinuro Seamount,1170,0.0,Scogliere,6366.5,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110001,Rocca di Cavour,8220,,Pareti rocciose silicee con vegetazione casmofitica,0.73,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110001,Rocca di Cavour,9260,,Boschi di Castanea sativa,30.66,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110001,Rocca di Cavour,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",19.37,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110002,Collina di Superga,9260,,Boschi di Castanea sativa,64.24,D - non significant,,,
IT1110002,Collina di Superga,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",38.84,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110002,Collina di Superga,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),5.98,D - non significant,,,
IT1110002,Collina di Superga,91E0,,,0.75,D - non significant,,,
IT1110002,Collina di Superga,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",18.68,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110002,Collina di Superga,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,99.35,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110002,Collina di Superga,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.75,D - non significant,,,
IT1110004,Stupinigi,3140,,Acque oligomesotrofe calcaree con vegetazione bentica di Chara spp.,0.1,D - non significant,,,
IT1110004,Stupinigi,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,282.15,B - good,A (100% >= p > 15%),B - Good,A - Excellent
IT1110004,Stupinigi,4030,,Lande secche europee,0.1,D - non significant,,,
IT1110004,Stupinigi,91E0,,,67.51,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110004,Stupinigi,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",45.01,C - significant,B (15% >= p > 2%),B - Good,B - Good
IT1110004,Stupinigi,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",0.1,D - non significant,,,
IT1110004,Stupinigi,91F0,,"Foreste miste riparie di grandi fiumi a Quercus robur, Ulmus laevis e Ulmus minor, Fraxinus excelsior o Fraxinus angustifolia (Ulmenion minoris)",17.31,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110004,Stupinigi,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.1,D - non significant,,,
IT1110004,Stupinigi,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,2.0,D - non significant,,,
IT1110005,Vauda,91F0,,"Foreste miste riparie di grandi fiumi a Quercus robur, Ulmus laevis e Ulmus minor, Fraxinus excelsior o Fraxinus angustifolia (Ulmenion minoris)",150.67,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110005,Vauda,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,5.29,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,3270,,Fiumi con argini melmosi con vegetazione del Chenopodion rubri p.p e Bidention p.p.,2.65,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,9260,,Boschi di Castanea sativa,2.65,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",2.65,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,4030,,Lande secche europee,142.83,B - good,B (15% >= p > 2%),C - Average or reduced,B - Good
IT1110005,Vauda,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,64.4,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110005,Vauda,7150,,Depressioni su substrati torbosi del Rhynchosporion,2.65,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,2.65,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",13.23,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,91E0,,,0.89,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110005,Vauda,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",132.25,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110005,Vauda,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",2.65,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",986.85,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,9110,,Faggeti del Luzulo-Fagetum,438.6,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,9130,,Faggeti dell’Asperulo-Fagetum,76.76,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110006,Orsiera Rocciavré,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),2467.13,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,8120,,Ghiaioni calcarei e scisto-calcarei montani e alpini (Thlaspietea rotundifolii),548.25,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,1721.51,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",109.65,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,4080,,Boscaglie subartiche di Salix spp.,5.0,D - non significant,,,
IT1110006,Orsiera Rocciavré,8220,,Pareti rocciose silicee con vegetazione casmofitica,548.25,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,4060,,Lande alpine e boreali,822.38,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,6520,,Praterie montane da fieno,1787.3,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),10.97,D - non significant,,,
IT1110006,Orsiera Rocciavré,6170,,Formazioni erbose calcicole alpine e subalpine,877.2,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110006,Orsiera Rocciavré,8230,,Rocce silicee con vegetazione pioniera del Sedo-Scleranthion o del Sedo albi-Veronicion dillenii,100.0,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110006,Orsiera Rocciavré,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",10.97,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110007,Laghi di Avigliana,3140,,Acque oligomesotrofe calcaree con vegetazione bentica di Chara spp.,0.12,B - good,C (2% >= p > 0%),B - Good,B - Good
